year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Australian Grand Prix,latifi,57,16,1:24.492,84.492,7,0.5679999999999978,1,0
2022,Australian Grand Prix,leclerc,1,1,1:29.695,89.695,1,0.0,1,0
2022,Australian Grand Prix,leclerc,2,1,1:24.746,84.746,2,-4.948999999999998,1,0
2022,Australian Grand Prix,leclerc,3,1,1:43.345,103.345,3,18.599000000000004,1,1
2022,Australian Grand Prix,leclerc,4,1,2:15.102,135.102,4,31.757000000000005,1,1
2022,Australian Grand Prix,leclerc,5,1,2:14.936,134.936,5,-0.16599999999999682,1,0
2022,Australian Grand Prix,leclerc,6,1,2:24.953,144.953,6,10.016999999999996,1,1
2022,Australian Grand Prix,leclerc,57,1,1:22.100,82.1,7,-62.85300000000001,1,0
2022,Australian Grand Prix,leclerc,58,1,1:20.260,80.26,8,-1.8399999999999892,1,0
2022,Australian Grand Prix,max_verstappen,1,2,1:30.342,90.342,1,0.0,1,0
2022,Australian Grand Prix,max_verstappen,2,2,1:24.831,84.831,2,-5.510999999999996,1,0
2022,Australian Grand Prix,max_verstappen,3,2,1:46.175,106.175,3,21.343999999999994,1,1
2022,Australian Grand Prix,max_verstappen,4,2,2:14.272,134.272,4,28.096999999999994,1,1
2022,Australian Grand Prix,max_verstappen,5,2,2:13.529,133.529,5,-0.742999999999995,1,0
2022,Australian Grand Prix,max_verstappen,6,2,2:24.064,144.064,6,10.534999999999997,1,1
2022,Australian Grand Prix,mick_schumacher,1,13,1:38.502,98.50200000000001,1,0.0,1,0
